src,reference,baseline_pred,idiom_only_pred,two_stage_frozen_pred
I need to finish my MBA to find a better job. It's like a millstone around my neck.,"Ich muss meinen MBA abschließen, um einen besseren Job zu finden. Das ist wie ein Mühlstein um meinen Hals.","Ich muss meinen MBA beenden, um einen besseren Job zu finden.","Ich muss meinen MBA beenden, um einen besseren Job zu finden. Es ist wie ein Mühlstein um meinen Hals.","Ich muss mein MBA beenden, um einen besseren Job zu finden. Es ist wie ein Mühlstein um meinen Hals."
Are you getting wind of what I am saying?,"Schnallen Sie jetzt, was ich sage?","Bekommst du Wind von dem, was ich sage?","Bekommst du Wind von dem, was ich sage?","Bekommst du Wind von dem, was ich sage?"
"Jesus Christ! I will kill myself if I continue like this, I don't have a penny to my name!","Mein Gott! Ich bringe mich um, wenn ich so weitermache, ich bin völlig abgebrannt!","Ich werde mich umbringen, wenn ich so weitermache, habe ich keinen Penny für meinen Namen!","Herrgott! Ich werde mich selbst töten, wenn ich so weitermache, habe ich keinen Pfennig für meinen Namen!","Mein Gott! Ich werde mich umbringen, wenn ich so weitermache, habe ich keinen Pfennig an meinem Namen!"
Over-the-knee boots were all the rage last winter.,Overknee-Stiefel waren im letzten Winter der letzte Schrei.,Über-die-Knie-Stiefel waren die Wut letzten Winter.,Über-die-Knie-Stiefel waren letzten Winter die ganze Wut.,Über-die-Knie-Stiefel waren letzten Winter die ganze Wut.
"Don't play innocent, Benjamin.","Tun Sie nicht so unschuldig, Benjamin.","Spiel nicht unschuldig, Benjamin.","Spielen Sie nicht unschuldig, Benjamin.","Spiel nicht unschuldig, Benjamin."
I hate my job but cannot quit owing to my economic condition. I'm stuck between a rock and a hard place,"Ich hasse meinen Job, kann aber aufgrund meiner wirtschaftlichen Lage nicht kündigen. Ich stecke in einer Zwickmühle.","Ich hasse meinen Job, kann aber wegen meiner wirtschaftlichen Lage nicht aufhören. Ich stecke zwischen einem Felsen und einem harten Ort fest","Ich hasse meinen Job, kann aber aufgrund meiner wirtschaftlichen Situation nicht kündigen. Ich stecke zwischen einem Stein und einem harten Ort fest","Ich hasse meinen Job, kann aber aufgrund meiner wirtschaftlichen Situation nicht kündigen. Ich stecke zwischen einem Stein und einem harten Ort fest"
"For the young Canadian servicemen, the order to ship out to battle on a moment's notice was expected daily.","Die jungen kanadischen Soldaten erwarteten täglich den Befehl, kurzfristig in den Kampf zu ziehen.","Für die jungen kanadischen Soldaten wurde täglich der Befehl erwartet, in einen Kampf zu verschiffen.","Für die jungen kanadischen Soldaten wurde täglich der Auftrag erwartet, einen Moment im voraus in den Kampf zu verschiffen.","Für die jungen kanadischen Soldaten wurde täglich mit dem Auftrag gerechnet, einen Moment in den Kampf zu verschiffen."
"He really shot himself in the foot, telling the interviewer all about the others who were applying for the job he wanted","Er hat sich selbst ins Knie geschossen, als er dem Interviewer alles über die anderen Bewerber für die Stelle, die er haben wollte, erzählte.","Er schoss sich wirklich in den Fuß und erzählte dem Interviewer alles über die anderen, die sich für den Job, den er wollte","Er erschoss sich selbst in die Schuhe und erzählte dem Interviewer alles über die anderen, die sich für den Job beworben hatten, den er wollte","Er erschoss sich wirklich selbst und erzählte dem Interviewer alles über die anderen, die sich für den Job beworben hatten, den er wollte."
"One should never let sleeping dogs lie, especially those who left the fireside hearth with a grudge.","Man sollte keine schlafenden Hunde wecken, vor allem nicht solche, die den Kamin mit einem Groll verlassen haben.","Man sollte niemals schlafende Hunde liegen lassen, besonders diejenigen, die den Kamin mit Groll verlassen haben.","Man sollte nie schlafende Hunde liegen lassen, vor allem diejenigen, die den Kamin mit Groll verlassen haben.","Man sollte nie schlafende Hunde liegen lassen, besonders diejenigen, die den Kamin mit Groll verlassen haben."
"Gloger also spends four hours with every new staff person, conducting the orientation herself, where she discusses mission values, the history of the organization, and the strategic plan; ensuring that everyone is on the same page and clear about expectations","Gloger verbringt auch vier Stunden mit jedem neuen Mitarbeiter, indem sie die Einweisung selbst durchführt. Dabei bespricht sie die Auftragswerte, die Geschichte der Organisation und den Strategieplan und stellt sicher, dass alle auf der selben Wellenlänge sind und sich über die Erwartungen im Klaren sind.","Gloger verbringt auch vier Stunden mit jedem neuen Mitarbeiter und führt die Orientierung selbst durch, wo sie über Missionswerte, die Geschichte der Organisation und den strategischen Plan diskutiert; sorgt dafür, dass alle auf der gleichen Seite sind und sich über die Erwartungen klar werden","Gloger verbringt auch vier Stunden mit jedem neuen Mitarbeiter und führt die Orientierung selbst durch, wo sie über Missionswerte, die Geschichte der Organisation und den strategischen Plan spricht; sorgt dafür, dass alle auf derselben Seite sind und sich über die Erwartungen klar werden","Gloger verbringt auch vier Stunden mit jedem neuen Mitarbeiter, indem sie die Orientierung selbst leitet, wo sie über Missionswerte, die Geschichte der Organisation und den strategischen Plan spricht; dafür sorgt, dass alle auf derselben Seite sind und sich über die Erwartungen klar werden."
It's not just one bad apple.,Es ist nicht nur ein fauler Apfel.,Es ist nicht nur ein schlechter Apfel.,Es ist nicht nur ein fauler Apfel.,Es ist nicht nur ein fauler Apfel.
I know my grandfather would have turned over in his grave if he had found out about my DUI.,"Ich weiß, dass mein Großvater sich im Grab umgedreht hätte, wenn er von meiner Trunkenheit am Steuer erfahren hätte.","Ich weiß, dass mein Großvater in seinem Grab umgedreht wäre, wenn er von meinem DUI erfahren hätte.","Ich weiß, dass mein Großvater sich in seinem Grab umgedreht hätte, wenn er von meinem DUI erfahren hätte.","Ich weiß, mein Großvater hätte sich in seinem Grab umgedreht, wenn er etwas über meinen DUI erfahren hätte."
No wonder she is as pale as a ghost.,"Kein Wunder, dass sie so leichenblass ist.","Kein Wunder, dass sie so blass ist wie ein Geist.","Kein Wunder, dass sie blass wie ein Geist ist.","Kein Wunder, dass sie blass wie ein Geist ist."
Paula has her hands full with those kids.,Paula hat mit diesen Kindern alle Hände voll zu tun.,Paula hat ihre Hände voll mit diesen Kindern.,Paula hat alle Hände voll zu tun mit diesen Kindern.,Paula hat alle Hände voll zu tun mit diesen Kindern.
"My boss found out that I messed up the budget report, and now I have egg on my face.","Mein Chef hat herausgefunden, dass ich den Budgetbericht verpfuscht habe, und jetzt stehe ich dumm da.","Mein Boss fand heraus, dass ich den Haushaltsbericht versaut habe, und jetzt habe ich Eier im Gesicht.","Mein Chef fand heraus, dass ich den Haushaltsbericht kaputt gemacht habe, und jetzt habe ich ein Ei im Auge.","Mein Chef fand heraus, dass ich den Haushaltsbericht kaputt gemacht habe, und jetzt habe ich ein Ei im Gesicht."
Counting on the price of IBM to rise sharply was betting on the wrong horse.,"Wer auf einen steilen Anstieg des IBM-Kurses gesetzt hat, hat auf das falsche Pferd gesetzt.","Auf den Preis von IBM, stark zu steigen, war Wetten auf das falsche Pferd.","Mit dem hohen Preis von IBM rechnend, setzte man auf das falsche Pferd.","Mit dem Preis von IBM zu rechnen, stark zu steigen, war Wetten auf das falsche Pferd."
He was dead tired from his night shift.,Er war noch todmüde von seiner Nachtschicht.,Er war müde von seiner Nachtschicht.,Er war von seiner Nachtschicht todmüde.,Er war von seiner Nachtschicht todmüde.
"No wonder so many of my people spit bars, because the truth is hard to swallow.","Kein Wunder, dass so viele meiner Leute auf Gitterstäbe spucken, denn die Wahrheit ist schwer zu schlucken.","Kein Wunder, dass so viele meiner Leute Bars spucken, denn die Wahrheit ist schwer zu schlucken.","Kein Wunder, dass so viele meiner Leute Riegel spucken, denn die Wahrheit ist schwer zu schlucken.","Kein Wunder, dass so viele meiner Leute die Spieße spucken, denn die Wahrheit ist schwer zu schlucken."
"So far, so good, but I'll let you know how we make out when we're finished.","So weit, so gut, aber ich werde Sie wissen lassen, wie wir abschneiden, wenn wir fertig sind.","So weit, so gut, aber ich lasse Sie wissen, wie wir machen, wenn wir fertig sind.","So weit, so gut, aber ich lasse Sie wissen, wie wir es machen, wenn wir fertig sind.","So weit, so gut, aber ich lasse Sie wissen, was wir machen, wenn wir fertig sind."
If only someone could step up to the plate.,Wenn doch nur jemand es in die Hand nehmen könnte.,Wenn nur jemand auf den Teller treten könnte.,Wenn nur jemand auf den Punkt kommen könnte.,Wenn nur jemand an die Spitze treten könnte.
He went from rags to riches when he inherited his uncle's fortune.,"Er wurde vom Tellerwäscher zum Millionär, als er das Vermögen seines Onkels erbte.","Er ging von Lumpen zu Reichtum, als er das Vermögen seines Onkels erbte.","Er ging von Lumpen zu Reichtümern, als er das Vermögen seines Onkels geerbt hatte.","Als er das Vermögen seines Onkels geerbt hatte, ging er von Lumpen zu Reichtümern."
When the program lost the grant its financial legs had been cut out from under it.,"Als das Programm die Förderung verlor, wurde ihm der finanzielle Boden unter den Füßen weggezogen.","Als das Programm den Zuschuss verlor, waren seine finanziellen Beine aus dem Programm herausgeschnitten worden.","Als das Programm den Zuschuss verlor, waren seine finanziellen Beine aus dem Programm herausgeschnitten worden.","Als das Programm den Zuschuss verlor, waren seine finanziellen Beine aus dem Programm herausgeschnitten worden."
We're cut from the same cloth as any American who has a pioneer spirit.,"Wir sind aus dem gleichen Holz geschnitzt wie alle Amerikaner, die Pioniergeist haben.","Wir sind aus dem gleichen Tuch wie jeder Amerikaner, der Pioniergeist hat.","Wir sind aus demselben Stoff geschnitzt wie alle Amerikaner, die einen Pioniergeist haben.","Wir sind aus demselben Stoff geschnitzt wie jeder Amerikaner, der Pioniergeist hat."
"We didn't want to put the cat among the pigeons, so we decided not to mention the bomb threat.","Wir wollten keine Unruhe stiften und beschlossen, die Bombendrohung nicht zu erwähnen.","Wir wollten die Katze nicht unter die Tauben legen, also entschieden wir uns, die Bombendrohung nicht zu erwähnen.","Wir wollten die Katze nicht unter die Tauben setzen, also entschieden wir uns, die Bombendrohung nicht zu erwähnen.","Wir wollten die Katze nicht unter die Tauben legen, also entschieden wir uns, die Bombendrohung nicht zu erwähnen."
"He fell apart after his wife died, I told him to pull himself together.","Nach dem Tod seiner Frau brach er zusammen, und ich sagte ihm, er solle sich zusammenreißen.","Er fiel auseinander, nachdem seine Frau gestorben war, ich sagte ihm, er solle sich zusammenreißen.","Nach dem Tod seiner Frau zerbrach er, und ich sagte ihm, er solle sich zusammenreißen.","Nachdem seine Frau gestorben war, zerbrach er, und ich sagte ihm, er solle sich zusammenreißen."
"In trying to build a house by himself, he bit off more than he could chew","Als er versuchte, ein Haus zu bauen, übernahm er sich.","Bei dem Versuch, ein Haus alleine zu bauen, hat er mehr abgebissen, als er kauen konnte.","Als er versuchte, ein Haus allein zu bauen, hat er sich mehr weggebissen, als er kauen konnte","Als er versuchte, allein ein Haus zu bauen, hat er sich mehr von ihm abbeißen lassen, als er kauen konnte."
She's always trying to pass the buck and I'm sick of it.,"Sie versucht immer, den schwarzen Peter weiterzugeben und ich habe es satt!","Sie versucht immer, das Geld zu verteilen und ich habe es satt.","Sie versucht immer, den Dollar zu geben, und ich habe es satt.","Sie versucht immer, den Dollar weiterzugeben, und ich habe es satt."
"Dad says I'm not cut out for the military, but I think I can thrive in such a structured environment.","Dad sagt, ich bin nicht fürs Militär gemacht, aber ich denke, ich kann in einer so strukturierten Umgebung aufblühen.","Dad sagt, ich bin nicht für das Militär geeignet, aber ich glaube, ich kann in einer so strukturierten Umgebung gedeihen.","Papa sagt, ich bin nicht für das Militär geschaffen, aber ich glaube, ich kann in einer so strukturierten Umgebung gedeihen.","Papa sagt, ich bin nicht für das Militär geeignet, aber ich glaube, ich kann in einer so strukturierten Umgebung gedeihen."
He quit his job on a whim.,Er kündigte seinen Job aus einer Laune heraus.,Er hat seinen Job aus einer Laune heraus gekündigt.,Er hat seinen Job aus einer Laune heraus gekündigt.,Er kündigte seinen Job aus einer Laune.
"For a sustained economic recovery, the US consumer has to start spending again but he is not out of the woods yet.","Für einen nachhaltigen Wirtschaftsaufschwung muss der US-Verbraucher seine Ausgaben wieder erhöhen, aber er ist noch nicht aus dem Schneider.","Für eine nachhaltige wirtschaftliche Erholung muss der US-Verbraucher wieder mit Ausgaben beginnen, aber er ist noch nicht aus dem Wald.","Für eine nachhaltige wirtschaftliche Erholung muss der US-Verbraucher wieder mit den Ausgaben beginnen, aber er ist noch nicht aus dem Ruder gelaufen.","Für eine nachhaltige wirtschaftliche Erholung muss der US-Verbraucher wieder mit den Ausgaben beginnen, aber er ist noch nicht aus dem Ruder gelaufen."
How long does it take for the wheel of fashion to come full circle?,"Wie lange dauert es, bis sich der Kreis in der Modebranche schließt?","Wie lange dauert es, bis das Rad der Mode zum vollen Kreis kommt?","Wie lange dauert es, bis das Rad der Mode im Kreis ist?","Wie lange dauert es, bis das Rad der Mode zum Kreis kommt?"
"After years of decline, it seems the company is finally starting to turn the corner.",Nach Jahren des Niedergangs scheint das Unternehmen nun endlich die Kurve zu kriegen.,"Nach Jahren des Niedergangs, scheint es, dass das Unternehmen endlich beginnt, die Ecke zu drehen.",Nach Jahren des Niedergangs scheint das Unternehmen endlich an die Reihe zu kommen.,Nach Jahren des Niedergangs scheint das Unternehmen endlich an der Reihe zu sein.
Don't bother trying to trick me with your red herrings - I'm not falling for it.,"Versuchen Sie nicht, mich mit Ihren Ablenkungsmanövern auszutricksen - darauf falle ich nicht herein!","Versuchen Sie nicht, mich mit Ihren roten Herings zu betrügen - ich falle nicht darauf rein.","Versuchen Sie nicht, mich mit Ihren roten Heringen zu betrauen - ich falle nicht darauf rein.","Versuchen Sie nicht, mich mit Ihren roten Herings zu betrauen - ich falle nicht darauf rein."
A recent public relations disaster left the company with egg all over its face.,Die jüngste Katastrophe im Bereich der Öffentlichkeitsarbeit hat das Unternehmen dumm dastehen lassen.,Eine kürzliche PR-Katastrophe ließ das Unternehmen mit Eiern ins Gesicht.,Eine jüngste Public-Relations-Katastrophe hat das Unternehmen mit allem Drum und Dran gelassen.,Eine jüngste Public-Relations-Katastrophe hat das Unternehmen mit allem Drum und Dran über die Bühne gelassen.
"Even if you don't agree with your boss' ideas, don't shoot from the hip. It won't augur well for your growth.","Selbst wenn Sie mit den Ideen Ihres Chefs nicht einverstanden sind, sollten Sie nicht aus der Hüfte schießen. Das wäre nicht gut für Ihr Wachstum.","Selbst wenn Sie nicht mit den Ideen Ihres Chefs einverstanden sind, schießen Sie nicht von der Hüfte. Es wird nicht gut für Ihr Wachstum saugen.","Selbst wenn Sie mit den Ideen Ihres Chefs nicht einverstanden sind, schießen Sie nicht aus der Hüfte. Es wird für Ihr Wachstum nicht gut taugen.","Selbst wenn Sie nicht mit den Ideen Ihres Chefs übereinstimmen, schießen Sie nicht aus der Hüfte. Es wird nicht gut für Ihr Wachstum saugen."
"He is always late for appointments and keeps people waiting, so we decided to give him a taste of his own medicine.","Da er immer zu spät zu Terminen kommt und die Leute warten lässt, haben wir beschlossen, es ihm mit gleicher Münze heimzuzahlen.","Er ist immer zu spät für Termine und hält die Leute warten, so dass wir beschlossen, ihm einen Geschmack seiner eigenen Medizin zu geben.","Er kommt immer zu spät zu Terminen und lässt die Leute warten, so dass wir beschlossen, ihm einen Vorgeschmack auf seine eigene Medizin zu geben.","Er kommt immer zu spät zu Terminen und lässt die Leute warten, so dass wir beschlossen, ihm einen Vorgeschmack auf seine eigene Medizin zu geben."
"At the weekly cabinet meeting the following day, an enraged Mr. Schroder read his ministers the riot act.",Auf der wöchentlichen Kabinettssitzung am folgenden Tag verlas ein wütender Schröder seinen Ministern die Leviten.,Bei der wöchentlichen Kabinettssitzung am folgenden Tag las ein wütender Herr Schroder seinen Ministern den Aufstand vor.,Bei der wöchentlichen Kabinettssitzung am nächsten Tag las ein wütender Herr Schroder seinen Ministern den Aufstand vor.,Bei der wöchentlichen Kabinettssitzung am folgenden Tag las ein wütender Herr Schroder seinen Ministern den Aufstand vor.
"""The problem that we've got is we're trying like the dickens to treat the symptom without treating the disease, Mr. North said on """"Fox News Sunday.""""""","„Wir haben das Problem, dass wir auf Teufel komm raus versuchen, das Symptom zu behandeln, ohne die Krankheit zu behandeln“, sagte North bei „Fox News Sunday“.","""Das Problem, das wir haben, ist, dass wir versuchen, wie die Schwänze das Symptom zu behandeln, ohne die Krankheit zu behandeln, sagte Mr. North auf ""Fox News Sunday.""""","""Das Problem, das wir haben, ist, dass wir versuchen, das Symptom zu behandeln, ohne die Krankheit zu behandeln, sagte Herr North am """"Fox News Sunday"""".""","""Das Problem, das wir haben, ist, dass wir versuchen, das Symptom zu behandeln, ohne die Krankheit zu behandeln, sagte Mr. North auf """"Fox News Sunday."""""
Those cheap little metal cars are a dime a dozen.,Diese billigen kleinen Metallautos gibt es wie Sand am Meer.,Diese billigen kleinen Metallautos sind ein Dutzend Cent.,Diese billigen kleinen Metallautos sind ein Zehntel.,Diese billigen kleinen Metallautos sind ein Zehntel.
"With their last, triumphant piece, the musicians raised the roof.","Mit ihrem letzten, triumphalen Stück brachten die Musiker den Saal zum Beben.","Mit ihrem letzten, triumphierenden Stück hoben die Musiker das Dach.","Mit ihrem letzten, triumphierenden Stück hoben die Musiker das Dach.","Mit ihrem letzten, triumphierenden Stück hoben die Musiker das Dach."
He put the cat among the pigeons when he refused to sign the contract.,"Er stiftete Unruhe, als er sich weigerte, den Vertrag zu unterschreiben.","Er stellte die Katze unter die Tauben, als er sich weigerte, den Vertrag zu unterzeichnen.","Er stellte die Katze unter die Tauben, als er sich weigerte, den Vertrag zu unterzeichnen.","Er stellte die Katze unter die Tauben, als er sich weigerte, den Vertrag zu unterzeichnen."
"But before she could launch her charm offensive, Mr. Roper sat down across from her and grabbed her wrists.","Doch bevor sie ihre Charmeoffensive starten konnte, setzte sich Herr Roper ihr gegenüber und packte ihre Handgelenke.","Aber bevor sie ihre Charmeoffensive starten konnte, setzte sich Mr. Roper ihr gegenüber und packte ihre Handgelenke.","Aber bevor sie ihre Charmeoffensive starten konnte, setzte sich Herr Roper ihr gegenüber und packte sich die Arme.","Aber bevor sie ihre Charmeoffensive starten konnte, setzte sich Herr Roper ihr gegenüber und packte ihr die Handgelenke."
"My son can be a bit of a bull in a china shop, so I'm worried about taking him to the museum.","Mein Sohn kann ein bisschen wie ein Elefant im Porzellanladen sein, deshalb mache ich mir Sorgen, wenn ich mit ihm ins Museum gehe.","Mein Sohn kann ein bisschen ein Bulle in einem Porzellanladen sein, also mache ich mir Sorgen, ihn ins Museum zu bringen.","Mein Sohn kann ein bisschen ein Bulle in einem Porzellanladen sein, also mache ich mir Sorgen, ihn ins Museum zu bringen.","Mein Sohn kann ein bisschen ein Bulle in einem Porzellanladen sein, also mache ich mir Sorgen, ihn ins Museum zu bringen."
"Well, you know, you can't change the spots on a leopard.","Sie wissen ja, die Katze lässt das Mausen nicht","Nun, du weißt schon, du kannst die Flecken auf einem Leoparden nicht ändern.","Nun, weißt du, du kannst die Flecken auf einem Leoparden nicht ändern.","Nun, weißt du, du kannst die Flecken auf einem Leoparden nicht ändern."
"On a scale of five, they gave an average rating of four to their feelings about CSIS",Auf einer Fünferskala bewerteten sie ihre Meinung gegenüber dem CSIS im Durchschnitt mit vier.,Auf einer Skala von fünf gaben sie ihren Gefühlen über CSIS eine durchschnittliche Bewertung von vier,Auf einer Skala von fünf gaben sie ihren Gefühlen über CSIS eine durchschnittliche Bewertung von vier,Auf einer Skala von fünf gaben sie ihren Gefühlen über CSIS eine durchschnittliche Bewertung von vier
"All right, tell my public that Carl Denam, the bright boy... who was going to make a million dollars out of King Kong, is flat broke.","Also gut, sagen Sie meinem Publikum, dass Carl Denam, der kluge Junge... der mit King Kong eine Million Dollar verdienen wollte, völlig pleite ist.","In Ordnung, sag meiner Öffentlichkeit, dass Carl Denam, der kluge Junge, der eine Million Dollar aus King Kong verdienen wollte, flach pleite ist.","In Ordnung, sagen Sie meinem Publikum, dass Carl Denam, der kluge Junge, der aus King Kong eine Million Dollar verdienen wollte, pleite ist.","In Ordnung, sagen Sie meinem Publikum, dass Carl Denam, der kluge Junge, der eine Million Dollar aus King Kong verdienen würde, pleite ist."
Being put on the spot makes me nervous.,"Wenn ich in Verlegenheit gebracht werde, macht mich das nervös.","Mich auf den Punkt zu bringen, macht mich nervös.",Mich auf den Punkt zu bringen macht mich nervös.,Mich auf den Punkt zu bringen macht mich nervös.
Dear Diary: Tomorrow I buckle down and hit the books.,Liebes Tagebuch: Morgen mache ich mich an die Arbeit und büffele.,Lieber Tagebuch: Morgen schnalle ich mich an und schlage die Bücher.,Lieber Tagebuch: Morgen schnalle ich mich zusammen und haue in die Bücher.,Lieber Tagebuch: Morgen schnalle ich mich zusammen und haue in die Bücher.
It's always been every man for himself in this industry. You can't rely on anyone else to help you get ahead.,"In dieser Branche war schon immer jeder auf sich allein gestellt. Man kann sich auf niemanden verlassen, der einem hilft, weiterzukommen.","Es war immer jeder Mann für sich in dieser Branche. Sie können sich nicht auf jemand anderes verlassen, um Ihnen zu helfen, voranzukommen.","Es war immer jeder für sich in dieser Branche. Sie können sich nicht darauf verlassen, dass jemand anderes Ihnen hilft, voranzukommen.","Es war immer jeder für sich selbst in dieser Branche. Man kann sich nicht darauf verlassen, dass jemand anderes Ihnen weiterhelfen kann."
And - to make a long story short - I never got back the money that I lent him.,"Und - um es auf den Punkt zu bringen - ich habe das Geld, das ich ihm geliehen habe, nie zurückbekommen.","Und - um eine lange Geschichte kurz zu machen - ich habe nie das Geld zurückbekommen, das ich ihm geliehen habe.","Und - um eine lange Geschichte zu kurz zu stellen - ich habe nie das Geld zurückbekommen, das ich ihm geliehen habe.","Und - um eine lange Geschichte kurz zu fassen - ich habe nie das Geld zurückbekommen, das ich ihm geliehen habe."
