src,reference,baseline_pred,idiom_only_pred,two_stage_frozen_pred,base_chrf,idiom_chrf,frozen_chrf,idiom_minus_base,frozen_minus_idiom
"Despite several bilateral and multilateral meetings, the four have not yet come up with the lowest common denominator likely to get the ball rolling","Trotz mehrerer bilateraler und multilateraler Treffen haben sich die vier noch nicht auf den kleinsten gemeinsamen Nenner geeinigt, der den Stein ins Rollen bringen könnte","Trotz mehrerer bilateraler und multilateraler Treffen haben die vier noch nicht den kleinsten gemeinsamen Nenner gefunden, der den Ball rollen lässt.","Trotz mehrerer bilateraler und multilateraler Treffen haben sich die vier noch nicht den kleinsten gemeinsamen Nenner ausgedacht, der den Ball ins Rollen bringen könnte","Trotz mehrerer bilateraler und multilateraler Treffen haben sich die vier noch nicht den kleinsten gemeinsamen Nenner ausgedacht, der den Ball ins Rollen bringen könnte.",71.83368204288506,85.30281485756701,85.18464366470602,13.469132814681956,-0.11817119286099853
He will hold his tongue if you tell him to not to say anything.,"Er wird den Mund halten, wenn Sie ihm sagen, dass er nichts sagen soll.","Er wird seine Zunge halten, wenn du ihm sagst, er soll nichts sagen.","Er wird seine Zunge halten, wenn Sie ihm sagen, er solle nichts sagen.","Er wird seine Zunge halten, wenn du ihm sagst, er solle nichts sagen.",51.97745721310753,64.72289175167874,52.08506038340035,12.745434538571217,-12.637831368278398
"I don't mean to rain on your parade, but I have some bad news.","Ich möchte Ihnen nicht in die Suppe spucken, aber ich habe schlechte Nachrichten.","Ich will nicht auf deine Parade regnen, aber ich habe schlechte Neuigkeiten.","Ich will nicht auf Ihre Parade regnen, aber ich habe schlechte Nachrichten.","Ich will nicht auf Ihre Parade regnen, aber ich habe schlechte Nachrichten.",45.042256268185746,57.776647874961206,57.776647874961206,12.73439160677546,0.0
I knew I had my work cut out for me when I saw how messy the playroom was.,"Als ich sah, wie unordentlich das Spielzimmer war, wusste ich, dass ich alle Hände voll zu tun haben werde.","Ich wusste, dass meine Arbeit für mich ausgeschnitten war, als ich sah, wie chaotisch das Spielzimmer war.","Ich wusste, dass meine Arbeit gut für mich war, als ich sah, wie unordentlich das Spielzimmer war.","Ich wusste, dass meine Arbeit gut für mich war, als ich sah, wie unordentlich das Spielzimmer war.",45.41626994740284,58.12285094706014,58.12285094706014,12.706580999657298,0.0
"Dad said he'd be here to watch my baseball game, but he let me down again.","Papa hat gesagt, er würde hier sein, um mein Baseballspiel zu sehen, aber er hat mich wieder hängen lassen.","Dad sagte, er wäre hier, um mir mein Baseballspiel anzusehen, aber er hat mich wieder im Stich gelassen.","Papa sagte, er würde hier sein, um mein Baseballspiel zu sehen, aber er hat mich noch einmal im Stich gelassen.","Papa sagte, er würde hier sein, um mein Baseballspiel zu sehen, aber er hat mich wieder enttäuscht.",61.25779646013857,73.6843063327367,76.65789300318275,12.426509872598125,2.9735866704460534
"""Your money or your life! I'm sorry, my dear, but you know it would kill me to lose my money,"""" said the partially deaf miser to his wife.""""""","""Geld oder Leben! Es tut mir leid, meine Liebe, aber du weißt, dass es mich umbringen würde, mein Geld zu verlieren"""", sagte der halb taube Geizhals zu seiner Frau.""","""Dein Geld oder dein Leben! Es tut mir leid, meine Liebe, aber du weißt, es würde mich töten, mein Geld zu verlieren,"""" sagte der teilweise taube Geizhals zu seiner Frau.""""","""Dein Geld oder dein Leben! Es tut mir leid, meine Liebe, aber du weißt, dass es mich umbringen würde, mein Geld zu verlieren"", sagte der zum Teil taube Geizknabe zu seiner Frau.""""","""Dein Geld oder dein Leben! Es tut mir leid, meine Liebe, aber du weißt, dass es mich umbringen würde, mein Geld zu verlieren"", sagte der zum Teil taube Geizige zu seiner Frau.""",73.31340273190112,84.90213113110605,84.79441794420953,11.588728399204925,-0.10771318689651821
"Anyway, we should hit the road.","Wie auch immer, wir sollten uns auf den Weg machen.","Wie auch immer, wir sollten auf die Straße gehen.","Wie auch immer, wir sollten auf den Weg gehen.","Wie auch immer, wir sollten uns auf den Weg machen.",62.250542996967994,73.66176580352877,100.0,11.411222806560772,26.338234196471234
A recent public relations disaster left the company with egg all over its face.,Die jüngste Katastrophe im Bereich der Öffentlichkeitsarbeit hat das Unternehmen dumm dastehen lassen.,Eine kürzliche PR-Katastrophe ließ das Unternehmen mit Eiern ins Gesicht.,Eine jüngste Public-Relations-Katastrophe hat das Unternehmen mit allem Drum und Dran gelassen.,Eine jüngste Public-Relations-Katastrophe hat das Unternehmen mit allem Drum und Dran über die Bühne gelassen.,32.719715091802506,44.12010337175296,44.95000900054169,11.400388279950455,0.8299056287887296
A lingua franca is used to bridge the gap between people who do not speak the same language.,"Eine Lingua franca dient dazu, die Kluft zwischen Menschen zu überbrücken, die nicht dieselbe Sprache sprechen.","Eine Lingua franca wird verwendet, um die Kluft zwischen Menschen, die nicht die gleiche Sprache sprechen, zu überbrücken.","Eine Lingua franca wird verwendet, um die Kluft zwischen Menschen zu überbrücken, die nicht dieselbe Sprache sprechen.","Eine Lingua franca wird benutzt, um die Kluft zwischen Menschen zu überbrücken, die nicht dieselbe Sprache sprechen.",75.71994879843622,87.04102433423103,87.41002209048004,11.321075535794805,0.36899775624901565
I know my grandfather would have turned over in his grave if he had found out about my DUI.,"Ich weiß, dass mein Großvater sich im Grab umgedreht hätte, wenn er von meiner Trunkenheit am Steuer erfahren hätte.","Ich weiß, dass mein Großvater in seinem Grab umgedreht wäre, wenn er von meinem DUI erfahren hätte.","Ich weiß, dass mein Großvater sich in seinem Grab umgedreht hätte, wenn er von meinem DUI erfahren hätte.","Ich weiß, mein Großvater hätte sich in seinem Grab umgedreht, wenn er etwas über meinen DUI erfahren hätte.",65.77820780922578,76.54324922519267,57.363959997435124,10.765041415966891,-19.179289227757543
