src,reference,baseline_pred,idiom_only_pred,two_stage_frozen_pred,base_chrf,idiom_chrf,frozen_chrf,idiom_minus_base,frozen_minus_idiom
"Anyway, we should hit the road.","Wie auch immer, wir sollten uns auf den Weg machen.","Wie auch immer, wir sollten auf die Straße gehen.","Wie auch immer, wir sollten auf den Weg gehen.","Wie auch immer, wir sollten uns auf den Weg machen.",62.250542996967994,73.66176580352877,100.0,11.411222806560772,26.338234196471234
A recent public relations disaster left the company with egg all over its face.,Die jüngste Katastrophe im Bereich der Öffentlichkeitsarbeit hat das Unternehmen dumm dastehen lassen.,Eine kürzliche PR-Katastrophe ließ das Unternehmen mit Eiern ins Gesicht.,Eine jüngste Public-Relations-Katastrophe hat das Unternehmen mit allem Drum und Dran gelassen.,Eine jüngste Public-Relations-Katastrophe hat das Unternehmen mit allem Drum und Dran über die Bühne gelassen.,32.719715091802506,44.12010337175296,44.95000900054169,11.400388279950455,0.8299056287887296
A lingua franca is used to bridge the gap between people who do not speak the same language.,"Eine Lingua franca dient dazu, die Kluft zwischen Menschen zu überbrücken, die nicht dieselbe Sprache sprechen.","Eine Lingua franca wird verwendet, um die Kluft zwischen Menschen, die nicht die gleiche Sprache sprechen, zu überbrücken.","Eine Lingua franca wird verwendet, um die Kluft zwischen Menschen zu überbrücken, die nicht dieselbe Sprache sprechen.","Eine Lingua franca wird benutzt, um die Kluft zwischen Menschen zu überbrücken, die nicht dieselbe Sprache sprechen.",75.71994879843622,87.04102433423103,87.41002209048004,11.321075535794805,0.36899775624901565
Going back to the drawing board is the best way to improve this product.,"Noch einmal von vorn anfangen ist die beste Art, dieses Produkt zu verbessern.","Zurück zum Zeichenbrett ist der beste Weg, um dieses Produkt zu verbessern.","Zurück zum Zeichenbrett zu gehen ist die beste Möglichkeit, dieses Produkt zu verbessern.","Zurück zum Reißbrett zu gehen ist die beste Möglichkeit, dieses Produkt zu verbessern.",48.265467661198656,58.384072342584645,58.41986330868456,10.118604681385989,0.03579096609991694
I hate my job but cannot quit owing to my economic condition. I'm stuck between a rock and a hard place,"Ich hasse meinen Job, kann aber aufgrund meiner wirtschaftlichen Lage nicht kündigen. Ich stecke in einer Zwickmühle.","Ich hasse meinen Job, kann aber wegen meiner wirtschaftlichen Lage nicht aufhören. Ich stecke zwischen einem Felsen und einem harten Ort fest","Ich hasse meinen Job, kann aber aufgrund meiner wirtschaftlichen Situation nicht kündigen. Ich stecke zwischen einem Stein und einem harten Ort fest","Ich hasse meinen Job, kann aber aufgrund meiner wirtschaftlichen Situation nicht kündigen. Ich stecke zwischen einem Stein und einem harten Ort fest",67.58857166545708,76.39376375385689,76.39376375385689,8.805192088399806,0.0
He pours out his heart to his therapist every week.,Er schüttet seinem Therapeuten jede Woche sein Herz aus.,Er schüttet sein Herz jede Woche an seinen Therapeuten aus.,Er gibt seinem Therapeuten jede Woche sein Herz aus.,Er gibt seinem Therapeuten jede Woche sein Herz aus.,74.57387029055144,82.69576593426795,82.69576593426795,8.121895643716513,0.0
At the heart of all of the basic questions about normality we shall find we are spinning our wheels.,"Bei allen grundlegenden Fragen zur Normalität werden wir feststellen, dass wir uns im Kreise drehen.","Im Mittelpunkt all der grundlegenden Fragen zur Normalität werden wir feststellen, dass wir unsere Räder drehen.","Im Mittelpunkt aller grundlegenden Fragen zur Normalität werden wir feststellen, dass wir uns im Kreis drehen.","Im Mittelpunkt all der grundlegenden Fragen zur Normalität werden wir feststellen, dass wir uns im Kreis drehen.",78.8331981821962,86.8515183257423,86.06706526906643,8.018320143546106,-0.7844530566758721
"If he or she is overly tired or under the weather, take a day or two off.","Wenn er oder sie übermäßig müde ist oder nicht ganz auf der Höhe ist, nehmen Sie sich ein oder zwei Tage frei.","Wenn er oder sie zu müde oder unter dem Wetter ist, nehmen Sie ein oder zwei Tage frei.","Wenn er oder sie zu müde oder unter dem Wetter ist, nehmen Sie sich ein oder zwei Tage frei.","Wenn er oder sie zu müde oder unter dem Wetter ist, nehmen Sie sich ein oder zwei Tage frei.",53.34650132140808,60.66713283222616,60.66713283222616,7.320631510818082,0.0
"I don't want to put the cart before the horse, but I think we should start working on it.","Ich möchte das Pferd nicht von hinten aufzäumen, aber ich denke, wir sollten mit der Arbeit daran beginnen.","Ich will den Wagen nicht vor das Pferd stellen, aber ich denke, wir sollten anfangen, daran zu arbeiten.","Ich möchte den Wagen nicht vor das Pferd legen, aber ich denke, wir sollten anfangen, daran zu arbeiten.","Ich möchte den Wagen nicht vor das Pferd legen, aber ich denke, wir sollten anfangen, daran zu arbeiten.",51.442999512646416,58.16553227209468,58.16553227209468,6.722532759448264,0.0
"He is always late for appointments and keeps people waiting, so we decided to give him a taste of his own medicine.","Da er immer zu spät zu Terminen kommt und die Leute warten lässt, haben wir beschlossen, es ihm mit gleicher Münze heimzuzahlen.","Er ist immer zu spät für Termine und hält die Leute warten, so dass wir beschlossen, ihm einen Geschmack seiner eigenen Medizin zu geben.","Er kommt immer zu spät zu Terminen und lässt die Leute warten, so dass wir beschlossen, ihm einen Vorgeschmack auf seine eigene Medizin zu geben.","Er kommt immer zu spät zu Terminen und lässt die Leute warten, so dass wir beschlossen, ihm einen Vorgeschmack auf seine eigene Medizin zu geben.",45.95978103260981,52.53224714519429,52.53224714519429,6.572466112584479,0.0
